index,activity,chemical,category,moa,bigg,exchange,model_simulation_0.05,model_simulation_0.1,model_simulation_0.2
PM01_A01,False,Negative Control,carbon,"C-Source, negative control",#,#,,,
PM01_A02,True,L-Arabinose,carbon,"C-Source, carbohydrate",arab__L,EX_arab__L_e,True,True,True
PM01_A03,True,N-Acetyl-D-Glucosamine,carbon,"C-Source, carbohydrate",acgam,EX_acgam_e,,,
PM01_A04,False,D-Saccharic acid,carbon,"C-Source, carboxylic acid",glcr,EX_glcr_e,,,
PM01_A05,True,Succinic acid,carbon,"C-Source, carboxylic acid",succ,EX_succ_e,True,True,True
PM01_A06,True,D-Galactose,carbon,"C-Source, carbohydrate",gal,EX_gal_e,True,True,True
PM01_A07,True,L-Aspartic acid,carbon,"C-Source, amino acid",asp__L,EX_asp__L_e,True,True,True
PM01_A08,True,L-Proline,carbon,"C-Source, amino acid",pro__L,EX_pro__L_e,True,True,True
PM01_A09,False,D-Alanine,carbon,"C-Source, amino acid",ala__D,EX_ala__D_e,True,True,True
PM01_A10,False,D-Trehalose,carbon,"C-Source, carbohydrate",tre,EX_tre_e,True,True,True
PM01_A11,True,D-Mannose,carbon,"C-Source, carbohydrate",man,EX_man_e,True,True,True
PM01_A12,False,Dulcitol,carbon,"C-Source, carbohydrate",galt,EX_galt_e,,,
PM01_B01,False,D-Serine,carbon,"C-Source, amino acid",ser__D,EX_ser__D_e,True,True,True
PM01_B02,False,D-Sorbitol,carbon,"C-Source, carbohydrate",sbt__D,EX_sbt__D_e,True,True,True
PM01_B03,True,Glycerol,carbon,"C-Source, carbohydrate",glyc,EX_glyc_e,True,True,True
PM01_B04,False,L-Fucose,carbon,"C-Source, carbohydrate",fuc__L_e,EX_fuc__L_e,,,
PM01_B05,False,D-Glucuronic acid,carbon,"C-Source, carboxylic acid",glcur,EX_glcur_e,,,
PM01_B06,True,D-Gluconic acid,carbon,"C-Source, carboxylic acid",glcn,EX_glcn_e,True,True,True
PM01_B07,False,DL-a-Glycerol Phosphate,carbon,"C-Source, carbohydrate",glyc3p,EX_glyc3p_e,True,True,True
PM01_B08,True,D-Xylose,carbon,"C-Source, carbohydrate",xyl__D,EX_xyl__D_e,True,True,True
