Strain,Media,Concentration,Caption
1270_WT,MM_ile,-1.383736586,MM + 2.9g/L Isoleucine
1270_WT,MM_ile,-1.432636014,MM + 2.9g/L Isoleucine
1270_WT,MM_ile,-1.438329783,MM + 2.9g/L Isoleucine
J1074_WT,MM_ile,-0.443929772,MM + 2.9g/L Isoleucine
J1074_WT,MM_ile,-0.869120346,MM + 2.9g/L Isoleucine
J1074_WT,MM_ile,-0.81235012,MM + 2.9g/L Isoleucine
1270_WT,MM_xyl,2.508791849,MM + 2.9g/L Xylose
1270_WT,MM_xyl,0.802168321,MM + 2.9g/L Xylose
1270_WT,MM_xyl,1.599463446,MM + 2.9g/L Xylose
J1074_WT,MM_xyl,-0.392853315,MM + 2.9g/L Xylose
J1074_WT,MM_xyl,-1.500291387,MM + 2.9g/L Xylose
J1074_WT,MM_xyl,0.345662018,MM + 2.9g/L Xylose
1270_WT,MM_gly,-0.204456546,MM + 2.9g/L Glycerol
1270_WT,MM_gly,-0.110341894,MM + 2.9g/L Glycerol
1270_WT,MM_gly,-1.022852109,MM + 2.9g/L Glycerol
J1074_WT,MM_gly,2.418696328,MM + 2.9g/L Glycerol
J1074_WT,MM_gly,6.770912879,MM + 2.9g/L Glycerol
J1074_WT,MM_gly,2.283218118,MM + 2.9g/L Glycerol
1270_WT,MM,-1.35476535,MM Glutamate Only
1270_WT,MM,-1.370339483,MM Glutamate Only
1270_WT,MM,-1.357109843,MM Glutamate Only
J1074_WT,MM,-0.276298514,MM Glutamate Only
J1074_WT,MM,1.234559838,MM Glutamate Only
J1074_WT,MM,-0.521967901,MM Glutamate Only
1270_WT,mannitol,-0.700484305,5g/L Mannitol
1270_WT,mannitol,-1.119478719,5g/L Mannitol
1270_WT,mannitol,-0.528666452,5g/L Mannitol
J1074_WT,mannitol,1.238913897,5g/L Mannitol
J1074_WT,mannitol,1.25448803,5g/L Mannitol
J1074_WT,mannitol,0.173844165,5g/L Mannitol
