#plate_id	well_id	chemical	category	moa	co_id	avg activity
PM01	C11	D-Melibiose	carbon	C-Source, carbohydrate	C05402	0.6666666666666666
PM01	C12	Thymidine	carbon	C-Source, carbohydrate	C00214	5.333333333333333
PM01	D01	L-Asparagine	carbon	C-Source, amino acid	C00152	8.0
PM01	D02	D-Aspartic acid	carbon	C-Source, amino acid	C00402	0.6666666666666666
PM01	D03	D-Glucosaminic acid	carbon	C-Source, carboxylic acid	C03752	8.0
PM01	D04	1,2-Propanediol	carbon	C-Source, alcohol	C00583	0.6666666666666666
PM01	D05	Tween 40	carbon	C-Source, fatty acid		5.0
PM01	D06	a-Ketoglutaric acid	carbon	C-Source, carboxylic acid	C00026	0.3333333333333333
PM01	D07	a-Ketobutyric acid	carbon	C-Source, carboxylic acid	C00109	8.0
PM01	D08	a-Methyl-D-Galactoside	carbon	C-Source, carbohydrate	C03619	0.0
PM01	D09	a-D-Lactose	carbon	C-Source, carbohydrate	C00243	1.3333333333333333
PM01	D10	Lactulose	carbon	C-Source, carbohydrate	C07064	1.6666666666666667
PM01	D11	Sucrose	carbon	C-Source, carbohydrate	C00089	0.6666666666666666
PM01	D12	Uridine	carbon	C-Source, carbohydrate	C00299	0.6666666666666666
PM01	E01	L-Glutamine	carbon	C-Source, amino acid	C00064	0.0
PM01	E02	m-Tartaric acid	carbon	C-Source, carboxylic acid	C00552	0.6666666666666666
PM01	E03	D-Glucose-1-Phosphate	carbon	C-Source, carbohydrate	C00103	0.6666666666666666
PM01	E04	D-Fructose-6-Phosphate	carbon	C-Source, carbohydrate	C00085	0.6666666666666666
PM01	E05	Tween 80	carbon	C-Source, fatty acid	C11625	5.0
PM01	E06	a-Hydroxyglutaric acid-g-Lactone	carbon	C-Source, carboxylic acid		0.0
PM01	E07	a-Hydroxybutyric acid	carbon	C-Source, carboxylic acid	C05984	8.666666666666666
PM01	E08	b-Methyl-D-Glucoside	carbon	C-Source, carbohydrate		7.0
PM01	E09	Adonitol	carbon	C-Source, carbohydrate	C00474	0.0
PM01	E10	Maltotriose	carbon	C-Source, carbohydrate	C01835	8.666666666666666
PM01	E11	2`-Deoxyadenosine	carbon	C-Source, carbohydrate	C00559	4.0
PM01	E12	Adenosine	carbon	C-Source, carbohydrate	C00212	8.0
PM01	F01	Gly-Asp	carbon	C-Source, amino acid	C02871	8.666666666666666
PM01	F02	Citric acid	carbon	C-Source, carboxylic acid	C00158	7.0
PM01	F03	m-Inositol	carbon	C-Source, carbohydrate	C00137	0.6666666666666666
PM01	F04	D-Threonine	carbon	C-Source, amino acid	C00820	0.6666666666666666
PM01	F05	Fumaric acid	carbon	C-Source, carboxylic acid	C00122	8.0
PM01	F06	Bromosuccinic acid	carbon	C-Source, carboxylic acid		5.0
PM01	F07	Propionic acid	carbon	C-Source, carboxylic acid	C00163	8.666666666666666
PM01	F08	Mucic acid	carbon	C-Source, carboxylic acid	C01807	0.0
PM01	F09	Glycolic acid	carbon	C-Source, carboxylic acid	C00160	0.0
PM01	F10	Glyoxylic acid	carbon	C-Source, carboxylic acid	C00048	5.0
PM01	F11	D-Cellobiose	carbon	C-Source, carbohydrate	C00185	8.0
PM01	F12	Inosine	carbon	C-Source, carbohydrate	C00294	9.0
PM01	G01	Gly-Glu	carbon	C-Source, amino acid		8.0
PM01	G02	Tricarballylic acid	carbon	C-Source, carboxylic acid		0.6666666666666666
PM01	G03	L-Serine	carbon	C-Source, amino acid	C00065	4.0
PM01	G04	L-Threonine	carbon	C-Source, amino acid	C00188	8.333333333333334
PM01	G05	L-Alanine	carbon	C-Source, amino acid	C00041	8.333333333333334
PM01	G06	Ala-Gly	carbon	C-Source, amino acid		9.0
PM01	G07	Acetoacetic acid	carbon	C-Source, carboxylic acid	C00164	0.0
PM01	G08	N-Acetyl-D-Mannosamine	carbon	C-Source, carbohydrate	C00645	0.0
PM01	G09	Mono-Methylsuccinate	carbon	C-Source, carboxylic acid		0.0
PM01	G10	Methylpyruvate	carbon	C-Source, ester		5.666666666666667
PM01	G11	D-Malic acid	carbon	C-Source, carboxylic acid	C00497	0.6666666666666666
PM01	G12	L-Malic acid	carbon	C-Source, carboxylic acid	C00149	8.0
PM01	H01	Gly-Pro	carbon	C-Source, amino acid		9.0
PM01	H02	p-Hydroxyphenyl Acetic acid	carbon	C-Source, carboxylic acid	C00642	0.6666666666666666
PM01	H03	m-Hydroxyphenyl Acetic acid	carbon	C-Source, carboxylic acid	C05593	7.0
PM01	H04	Tyramine	carbon	C-Source, amine	C00483	0.6666666666666666
PM01	H05	D-Psicose	carbon	C-Source, carbohydrate	C06468	0.6666666666666666
PM01	H06	L-Lyxose	carbon	C-Source, carbohydrate	C01508	5.0
PM01	H07	Glucuronamide	carbon	C-Source, amide	D01791	0.0
PM01	H08	Pyruvic acid	carbon	C-Source, carboxylic acid	C00022	8.0
PM01	H09	L-Galactonic acid-g-Lactone	carbon	C-Source, carboxylic acid	C01115	0.0
PM01	H10	D-Galacturonic acid	carbon	C-Source, carboxylic acid	C00333	2.0
PM01	H11	Phenylethylamine	carbon	C-Source, amine	C05332	0.6666666666666666
PM01	H12	2-Aminoethanol	carbon	C-Source, alcohol	C00189	0.6666666666666666
PM02	A01	Negative Control	carbon	C-Source, negative control		0.0
PM02	A02	Chondroitin Sulfate C	carbon	C-Source, polymer	C00635	0.0
PM02	A03	a-Cyclodextrin	carbon	C-Source, polymer		0.0
PM02	A04	b-Cyclodextrin	carbon	C-Source, polymer		0.0
PM02	A05	g-Cyclodextrin	carbon	C-Source, polymer		8.666666666666666
PM02	A06	Dextrin	carbon	C-Source, polymer	C00721	7.0
PM02	A07	Gelatin	carbon	C-Source, polymer	C01498	8.0
PM02	A08	Glycogen	carbon	C-Source, polymer	C00182	8.0
PM02	A09	Inulin	carbon	C-Source, polymer	C00368	0.0
PM02	A10	Laminarin	carbon	C-Source, polymer	C00771	8.666666666666666
PM02	A11	Mannan	carbon	C-Source, polymer	C00464	0.0
PM02	A12	Pectin	carbon	C-Source, polymer	C00714	0.0
PM02	B01	N-Acetyl-D-Galactosamine	carbon	C-Source, carbohydrate	C01074	0.0
PM02	B02	N-Acetyl-Neuraminic acid	carbon	C-Source, carboxylic acid	C00270	0.0
PM02	B03	b-D-Allose	carbon	C-Source, carbohydrate	C01487	0.0
PM02	B04	Amygdalin	carbon	C-Source, carbohydrate	C08325	4.0
PM02	B05	D-Arabinose	carbon	C-Source, carbohydrate	C00216	5.0
PM02	B06	D-Arabitol	carbon	C-Source, carbohydrate	C01904	9.0
PM02	B07	L-Arabitol	carbon	C-Source, carbohydrate	C00532	0.0
PM02	B08	Arbutin	carbon	C-Source, carbohydrate	C06186	8.333333333333334
PM02	B09	2-Deoxy-D-Ribose	carbon	C-Source, carbohydrate	C01801	5.0
PM02	B10	i-Erythritol	carbon	C-Source, carbohydrate	C00503	0.0
PM02	B11	D-Fucose	carbon	C-Source, carbohydrate	C01018	0.0
PM02	B12	3-O-b-D-Galactopyranosyl-D-Arabinose	carbon	C-Source, carbohydrate		0.0
PM02	C01	Gentiobiose	carbon	C-Source, carbohydrate	C08240	9.0
PM02	C02	L-Glucose	carbon	C-Source, carbohydrate		0.0
PM02	C03	D-Lactitol	carbon	C-Source, carbohydrate		0.0
PM02	C04	D-Melezitose	carbon	C-Source, carbohydrate	C08243	0.0
PM02	C05	Maltitol	carbon	C-Source, carbohydrate	G00275	0.0
PM02	C06	a-Methyl-D-Glucoside	carbon	C-Source, carbohydrate		0.0
PM02	C07	b-Methyl-D-Galactoside	carbon	C-Source, carbohydrate	C03619	0.0
PM02	C08	3-Methylglucose	carbon	C-Source, carbohydrate		0.0
PM02	C09	b-Methyl-D-Glucuronic acid	carbon	C-Source, carboxylic acid	C08350	0.0
PM02	C10	a-Methyl-D-Mannoside	carbon	C-Source, carbohydrate		0.0
PM02	C11	b-Methyl-D-Xyloside	carbon	C-Source, carbohydrate		0.0
PM02	C12	Palatinose	carbon	C-Source, carbohydrate	C01742	0.0
PM02	D01	D-Raffinose	carbon	C-Source, carbohydrate	C00492	0.0
PM02	D02	Salicin	carbon	C-Source, carbohydrate	C01451	6.0
PM02	D03	Sedoheptulosan	carbon	C-Source, carbohydrate		0.0
PM02	D04	L-Sorbose	carbon	C-Source, carbohydrate	C00247	0.0
PM02	D05	Stachyose	carbon	C-Source, carbohydrate	C01613	0.0
PM02	D06	D-Tagatose	carbon	C-Source, carbohydrate	C00795	0.0
PM02	D07	Turanose	carbon	C-Source, carbohydrate	G03588	0.0
PM02	D08	Xylitol	carbon	C-Source, carbohydrate	C00379	0.0
PM02	D09	N-Acetyl-D-Glucosaminitol	carbon	C-Source, carbohydrate		0.0
PM02	D10	g-Amino-N-Butyric acid	carbon	C-Source, carboxylic acid	C00334	0.3333333333333333
PM02	D11	d-Amino Valeric acid	carbon	C-Source, carboxylic acid	C00431	0.0
PM02	D12	Butyric acid	carbon	C-Source, carboxylic acid	C00246	8.666666666666666
PM02	E01	Capric acid	carbon	C-Source, carboxylic acid	C01571	0.0
PM02	E02	Caproic acid	carbon	C-Source, carboxylic acid	C01585	8.666666666666666
PM02	E03	Citraconic acid	carbon	C-Source, carboxylic acid	C02226	0.0
PM02	E04	Citramalic acid	carbon	C-Source, carboxylic acid	C00815	0.0
PM02	E05	D-Glucosamine	carbon	C-Source, carbohydrate	C00329	5.0
PM02	E06	2-Hydroxybenzoic acid	carbon	C-Source, carboxylic acid	C00805	0.0
PM02	E07	4-Hydroxybenzoic acid	carbon	C-Source, carboxylic acid	C00156	0.0
PM02	E08	b-Hydroxybutyric acid	carbon	C-Source, carboxylic acid	C01089	7.666666666666667
PM02	E09	g-Hydroxybutyric acid	carbon	C-Source, carboxylic acid	C00989	0.0
PM02	E10	a-Keto-Valeric acid	carbon	C-Source, carboxylic acid	C00567	0.0
PM02	E11	Itaconic acid	carbon	C-Source, carboxylic acid	C00490	0.0
PM02	E12	5-Keto-D-Gluconic acid	carbon	C-Source, carboxylic acid	C01062	5.0
PM02	F01	D-Lactic acid Methyl Ester	carbon	C-Source, ester		0.0
PM02	F02	Malonic acid	carbon	C-Source, carboxylic acid	C00383	7.0
PM02	F03	Melibionic acid	carbon	C-Source, carbohydrate		0.0
PM02	F04	Oxalic acid	carbon	C-Source, carboxylic acid	C00209	0.0
PM02	F05	Oxalomalic acid	carbon	C-Source, carboxylic acid	C01990	0.0
PM02	F06	Quinic acid	carbon	C-Source, carboxylic acid	C00296	0.0
PM02	F07	D-Ribono-1,4-Lactone	carbon	C-Source, carboxylic acid		0.0
PM02	F08	Sebacic acid	carbon	C-Source, carboxylic acid	C08277	0.6666666666666666
PM02	F09	Sorbic acid	carbon	C-Source, carboxylic acid		0.0
PM02	F10	Succinamic acid	carbon	C-Source, carboxylic acid		0.0
PM02	F11	D-Tartaric acid	carbon	C-Source, carboxylic acid	C02107	0.0
PM02	F12	L-Tartaric acid	carbon	C-Source, carboxylic acid	C00898	0.0
PM02	G01	Acetamide	carbon	C-Source, amide	C06244	0.0
PM02	G02	L-Alaninamide	carbon	C-Source, amide		8.0
PM02	G03	N-Acetyl-L-Glutamic acid	carbon	C-Source, amino acid	C00624	0.0
PM02	G04	L-Arginine	carbon	C-Source, amino acid	C00062	0.0
PM02	G05	Glycine	carbon	C-Source, amino acid	C00037	7.333333333333333
PM02	G06	L-Histidine	carbon	C-Source, amino acid	C00135	9.0
PM02	G07	L-Homoserine	carbon	C-Source, amino acid	C00263	0.0
PM02	G08	Hydroxy-L-Proline	carbon	C-Source, amino acid	C01015	0.0
PM02	G09	L-Isoleucine	carbon	C-Source, amino acid	C00407	4.0
PM02	G10	L-Leucine	carbon	C-Source, amino acid	C00123	0.0
PM02	G11	L-Lysine	carbon	C-Source, amino acid	C00047	0.0
PM02	G12	L-Methionine	carbon	C-Source, amino acid	C00073	5.0
PM02	H01	L-Ornithine	carbon	C-Source, amino acid	C00077	0.0
PM02	H02	L-Phenylalanine	carbon	C-Source, amino acid	C00079	8.666666666666666
PM02	H03	L-Pyroglutamic acid	carbon	C-Source, amino acid	C02238	0.0
PM02	H04	L-Valine	carbon	C-Source, amino acid	C00183	4.0
PM02	H05	D,L-Carnitine	carbon	C-Source, carboxylic acid	C00487	0.0
PM02	H06	sec-Butylamine	carbon	C-Source, amine		0.0
PM02	H07	D,L-Octopamine	carbon	C-Source, amine	C04227	0.0
PM02	H08	Putrescine	carbon	C-Source, amine	C00134	8.333333333333334
PM02	H09	Dihydroxyacetone	carbon	C-Source, alcohol	C00184	7.0
PM02	H10	2,3-Butanediol	carbon	C-Source, alcohol	C03044	0.0
PM02	H11	2,3-Butanedione	carbon	C-Source, alcohol	C00741	0.3333333333333333
PM02	H12	3-Hydroxy-2-buta	carbon	C-Source, alcohol	C00466	0.0
PM03	A01	Negative Control	nitrogen	N-Source, Negative control		0.0
PM03	A02	Ammonia	nitrogen	N-Source, inorganic	C00014	7.333333333333333
PM03	A03	Nitrite	nitrogen	N-Source, inorganic	C00088	6.0
PM03	A04	Nitrate	nitrogen	N-Source, inorganic	C00244	6.0
PM03	A05	Urea	nitrogen	N-Source, other	C00086	7.666666666666667
PM03	A06	Biuret	nitrogen	N-Source, other	C06555	5.666666666666667
PM03	A07	L-Alanine	nitrogen	N-Source, amino acid	C00041	8.0
PM03	A08	L-Arginine	nitrogen	N-Source, amino acid	C00062	8.0
PM03	A09	L-Asparagine	nitrogen	N-Source, amino acid	C00152	8.0
PM03	A10	L-Aspartic acid	nitrogen	N-Source, amino acid	C00049	7.0
PM03	A11	L-Cysteine	nitrogen	N-Source, amino acid	C00097	8.666666666666666
PM03	A12	L-Glutamic acid	nitrogen	N-Source, amino acid	C00025	7.0
PM03	B01	L-Glutamine	nitrogen	N-Source, amino acid	C00064	8.333333333333334
PM03	B02	Glycine	nitrogen	N-Source, amino acid	C00037	7.333333333333333
PM03	B03	L-Histidine	nitrogen	N-Source, amino acid	C00135	8.0
PM03	B04	L-Isoleucine	nitrogen	N-Source, amino acid	C00407	6.666666666666667
PM03	B05	L-Leucine	nitrogen	N-Source, amino acid	C00123	7.0
PM03	B06	L-Lysine	nitrogen	N-Source, amino acid	C00047	7.0
PM03	B07	L-Methionine	nitrogen	N-Source, amino acid	C00073	6.333333333333333
PM03	B08	L-Phenylalanine	nitrogen	N-Source, amino acid	C00079	6.666666666666667
PM03	B09	L-Proline	nitrogen	N-Source, amino acid	C00148	7.0
PM03	B10	L-Serine	nitrogen	N-Source, amino acid	C00065	6.0
PM03	B11	L-Threonine	nitrogen	N-Source, amino acid	C00188	6.666666666666667
PM03	B12	L-Tryptophan	nitrogen	N-Source, amino acid	C00078	6.0
PM03	C01	L-Tyrosine	nitrogen	N-Source, amino acid	C00082	8.0
PM03	C02	L-Valine	nitrogen	N-Source, amino acid	C00183	6.0
PM03	C03	D-Alanine	nitrogen	N-Source, amino acid	C00133	7.0
PM03	C04	D-Asparagine	nitrogen	N-Source, amino acid	C01905	4.666666666666667
PM03	C05	D-Aspartic acid	nitrogen	N-Source, amino acid	C00402	1.0
PM03	C06	D-Glutamic acid	nitrogen	N-Source, amino acid	C00217	0.0
PM03	C07	D-Lysine	nitrogen	N-Source, amino acid	C00739	0.0
PM03	C08	D-Serine	nitrogen	N-Source, amino acid	C00740	3.6666666666666665
PM03	C09	D-Valine	nitrogen	N-Source, amino acid	C06417	4.0
PM03	C10	L-Citrulline	nitrogen	N-Source, amino acid	C00327	6.666666666666667
PM03	C11	L-Homoserine	nitrogen	N-Source, amino acid	C00263	6.0
PM03	C12	L-Ornithine	nitrogen	N-Source, amino acid	C00077	7.0
PM03	D01	N-Acetyl-L-Glutamic acid	nitrogen	N-Source, amino acid	C00624	0.0
PM03	D02	N-Phthaloyl-L-Glutamic acid	nitrogen	N-Source, amino acid		6.0
PM03	D03	L-Pyroglutamic acid	nitrogen	N-Source, amino acid	C02238	4.0
PM03	D04	Hydroxylamine	nitrogen	N-Source, other	C00192	0.3333333333333333
PM03	D05	Methylamine	nitrogen	N-Source, other	C00218	0.0
PM03	D06	N-Amylamine	nitrogen	N-Source, other		0.0
PM03	D07	N-Butylamine	nitrogen	N-Source, other		0.0
PM03	D08	Ethylamine	nitrogen	N-Source, other	C00797	0.0
PM03	D09	Ethanolamine	nitrogen	N-Source, other	C00189	7.0
PM03	D10	Ethylenediamine	nitrogen	N-Source, other	C12511	0.0
PM03	D11	Putrescine	nitrogen	N-Source, other	C00134	6.666666666666667
PM03	D12	Agmatine	nitrogen	N-Source, other	C00179	8.0
PM03	E01	Histamine	nitrogen	N-Source, other	C00388	0.6666666666666666
PM03	E02	b-Phenylethylamine	nitrogen	N-Source, other	C05332	6.0
PM03	E03	Tyramine	nitrogen	N-Source, other	C00483	6.0
PM03	E04	Acetamide	nitrogen	N-Source, other	C06244	5.333333333333333
PM03	E05	Formamide	nitrogen	N-Source, other	C00488	4.0
PM03	E06	Glucuronamide	nitrogen	N-Source, other	D01791	6.0
PM03	E07	DL-Lactamide	nitrogen	N-Source, other		6.0
PM03	E08	D-Glucosamine	nitrogen	N-Source, other	C00329	3.6666666666666665
PM03	E09	D-Galactosamine	nitrogen	N-Source, other	C02262	0.0
PM03	E10	D-Mannosamine	nitrogen	N-Source, other	C03570	4.666666666666667
PM03	E11	N-Acetyl-D-Glucosamine	nitrogen	N-Source, other	C00140	7.0
PM03	E12	N-Acetyl-D-Galactosamine	nitrogen	N-Source, other	C01074	4.0
PM03	F01	N-Acetyl-D-Mannosamine	nitrogen	N-Source, other	C00645	7.0
PM03	F02	Adenine	nitrogen	N-Source, other	C00147	7.0
PM03	F03	Adenosine	nitrogen	N-Source, other	C00212	7.0
PM03	F04	Cytidine	nitrogen	N-Source, other	C00475	7.0
PM03	F05	Cytosine	nitrogen	N-Source, other	C00380	6.0
PM03	F06	Guanine	nitrogen	N-Source, other	C00242	0.0
PM03	F07	Guanosine	nitrogen	N-Source, other	C00387	6.333333333333333
PM03	F08	Thymine	nitrogen	N-Source, other	C00178	6.0
PM03	F09	Thymidine	nitrogen	N-Source, other	C00214	6.0
PM03	F10	Uracil	nitrogen	N-Source, other	C00106	5.333333333333333
PM03	F11	Uridine	nitrogen	N-Source, other	C00299	6.0
PM03	F12	Inosine	nitrogen	N-Source, other	C00294	8.666666666666666
PM03	G01	Xanthine	nitrogen	N-Source, other	C00385	7.333333333333333
PM03	G02	Xanthosine	nitrogen	N-Source, other	C01762	8.0
PM03	G03	Uric acid	nitrogen	N-Source, other	C00366	7.666666666666667
PM03	G04	Alloxan	nitrogen	N-Source, other	C07599	4.0
PM03	G05	Allantoin	nitrogen	N-Source, other	C01551	8.0
PM03	G06	Parabanic acid	nitrogen	N-Source, other		7.0
PM03	G07	DL-a-Amino-N-Butyric acid	nitrogen	N-Source, other	C02261	7.0
PM03	G08	g-Amino-N-Butyric acid	nitrogen	N-Source, other	C00334	7.666666666666667
PM03	G09	e-Amino-N-Caproic acid	nitrogen	N-Source, other	C02378	6.666666666666667
PM03	G10	DL-a-Amino-Caprylic acid	nitrogen	N-Source, other		3.6666666666666665
PM03	G11	d-Amino-N-Valeric acid	nitrogen	N-Source, other	C00431	6.333333333333333
PM03	G12	a-Amino-N-Valeric acid	nitrogen	N-Source, other	C01826	4.666666666666667
PM03	H01	Ala-Asp	nitrogen	N-Source, peptide	C02871	9.0
PM03	H02	Ala-Gln	nitrogen	N-Source, peptide		9.0
PM03	H03	Ala-Glu	nitrogen	N-Source, peptide		9.0
PM03	H04	Ala-Gly	nitrogen	N-Source, peptide		8.0
PM03	H05	Ala-His	nitrogen	N-Source, peptide		8.666666666666666
PM03	H06	Ala-Leu	nitrogen	N-Source, peptide	C05035	8.0
PM03	H07	Ala-Thr	nitrogen	N-Source, peptide		8.0
PM03	H08	Gly-Asn	nitrogen	N-Source, peptide		8.333333333333334
PM03	H09	Gly-Gln	nitrogen	N-Source, peptide		9.0
PM03	H10	Gly-Glu	nitrogen	N-Source, peptide		9.0
PM03	H11	Gly-Met	nitrogen	N-Source, peptide		7.0
PM03	H12	Met-Ala	nitrogen	N-Source, peptide		5.666666666666667
PM04	A01	Negative Control	phosphate & sulphur	P-Source, Negative control		0.0
PM04	A02	Phosphate	phosphate & sulphur	P-Source, inorganic	C00009	6.666666666666667
PM04	A03	Pyrophosphate	phosphate & sulphur	P-Source, inorganic	C00013	5.333333333333333
PM04	A04	Trimetaphosphate	phosphate & sulphur	P-Source, inorganic	C02466	5.0
PM04	A05	Tripolyphosphate	phosphate & sulphur	P-Source, inorganic	C00536	5.333333333333333
PM04	A06	Triethyl Phosphate	phosphate & sulphur	P-Source, organic		0.0
PM04	A07	Hypophosphite	phosphate & sulphur	P-Source, inorganic		0.0
PM04	A08	Adenosine 2`-Monophosphate	phosphate & sulphur	P-Source, organic	C00946	8.0
PM04	A09	Adenosine 3`-Monophosphate	phosphate & sulphur	P-Source, organic	C01367	8.0
PM04	A10	Adenosine 5`-Monophosphate	phosphate & sulphur	P-Source, organic	C00020	8.0
PM04	A11	Adenosine 2`,3`-Cyclic Monophosphate	phosphate & sulphur	P-Source, organic		8.0
PM04	A12	Adenosine 3`,5`-Cyclic Monophosphate	phosphate & sulphur	P-Source, organic	C00575	7.333333333333333
PM04	B01	Thiophosphate	phosphate & sulphur	P-Source, inorganic		0.0
PM04	B02	Dithiophosphate	phosphate & sulphur	P-Source, inorganic		1.0
PM04	B03	DL-a-Glycerol Phosphate	phosphate & sulphur	P-Source, organic	C00093	7.0
PM04	B04	b-Glycerol Phosphate	phosphate & sulphur	P-Source, organic	C02979	7.0
PM04	B05	Carbamyl Phosphate	phosphate & sulphur	P-Source, organic	C00169	7.0
PM04	B06	D-2-Phospho-Glyceric acid	phosphate & sulphur	P-Source, organic	C00631	7.0
PM04	B07	D-3-Phospho-Glyceric acid	phosphate & sulphur	P-Source, organic	C00197	7.0
PM04	B08	Guanosine 2`-Monophosphate	phosphate & sulphur	P-Source, organic		7.333333333333333
PM04	B09	Guanosine 3`-Monophosphate	phosphate & sulphur	P-Source, organic	C06193	7.0
PM04	B10	Guanosine 5`-Monophosphate	phosphate & sulphur	P-Source, organic	C00144	7.666666666666667
PM04	B11	Guanosine 2`,3`-Cyclic Monophosphate	phosphate & sulphur	P-Source, organic		7.666666666666667
PM04	B12	Guanosine 3`,5`-Cyclic Monophosphate	phosphate & sulphur	P-Source, organic	C00942	8.0
PM04	C01	Phosphoenol Pyruvate	phosphate & sulphur	P-Source, organic	C00074	7.0
PM04	C02	Phospho-Glycolic acid	phosphate & sulphur	P-Source, organic	C00988	7.0
PM04	C03	D-Glucose-1-Phosphate	phosphate & sulphur	P-Source, organic	C00103	6.0
PM04	C04	D-Glucose-6-Phosphate	phosphate & sulphur	P-Source, organic	C00092	7.0
PM04	C05	2-Deoxy-D-Glucose 6-Phosphate	phosphate & sulphur	P-Source, organic	C06369	0.0
PM04	C06	D-Glucosamine-6-Phosphate	phosphate & sulphur	P-Source, organic	C00352	6.666666666666667
PM04	C07	6-Phospho-Gluconic acid	phosphate & sulphur	P-Source, organic		6.666666666666667
PM04	C08	Cytidine 2`-Monophosphate	phosphate & sulphur	P-Source, organic	C03104	7.0
PM04	C09	Cytidine 3`-Monophosphate	phosphate & sulphur	P-Source, organic	C05822 	0.0
PM04	C10	Cytidine 5`-Monophosphate	phosphate & sulphur	P-Source, organic	C00055	7.0
PM04	C11	Cytidine 2`,3`-Cyclic Monophosphate	phosphate & sulphur	P-Source, organic		7.0
PM04	C12	Cytidine 3`,5`-Cyclic Monophosphate	phosphate & sulphur	P-Source, organic	C00941	8.0
PM04	D01	D-Mannose-1-Phosphate	phosphate & sulphur	P-Source, organic	C00636	5.0
PM04	D02	D-Mannose-6-Phosphate	phosphate & sulphur	P-Source, organic	C00275	4.666666666666667
PM04	D03	Cysteamine-S-Phosphate	phosphate & sulphur	P-Source, organic		5.333333333333333
PM04	D04	Phospho-L-Arginine	phosphate & sulphur	P-Source, organic	C05945	7.0
PM04	D05	O-Phospho-D-Serine	phosphate & sulphur	P-Source, organic	C02532	7.333333333333333
PM04	D06	O-Phospho-L-Serine	phosphate & sulphur	P-Source, organic	C01005	7.0
PM04	D07	O-Phospho-L-Threonine	phosphate & sulphur	P-Source, organic		6.333333333333333
PM04	D08	Uridine 2`-Monophosphate	phosphate & sulphur	P-Source, organic	C03031	4.666666666666667
PM04	D09	Uridine 3`-Monophosphate	phosphate & sulphur	P-Source, organic	C01368	4.666666666666667
PM04	D10	Uridine 5`-Monophosphate	phosphate & sulphur	P-Source, organic	C00105	7.333333333333333
PM04	D11	Uridine 2`,3`-Cyclic Monophosphate	phosphate & sulphur	P-Source, organic	C02355	6.333333333333333
PM04	D12	Uridine 3`,5`-Cyclic Monophosphate	phosphate & sulphur	P-Source, organic		5.666666666666667
PM04	E01	O-Phospho-D-Tyrosine	phosphate & sulphur	P-Source, organic	C06501	7.0
PM04	E02	O-Phospho-L-Tyrosine	phosphate & sulphur	P-Source, organic	C06501	7.0
