#plate_id	well_id	chemical	category	moa	co_id	avg activity
PM01	A01	Negative Control	carbon	C-Source, negative control		0.0
PM01	A02	L-Arabinose	carbon	C-Source, carbohydrate	C00259	9.0
PM01	A03	N-Acetyl-D-Glucosamine	carbon	C-Source, carbohydrate	C00140	9.0
PM01	A04	D-Saccharic acid	carbon	C-Source, carboxylic acid	C00818	0.6666666666666666
PM01	A05	Succinic acid	carbon	C-Source, carboxylic acid	C00042	7.0
PM01	A06	D-Galactose	carbon	C-Source, carbohydrate	C00124	9.0
PM01	A07	L-Aspartic acid	carbon	C-Source, amino acid	C00049	6.0
PM01	A08	L-Proline	carbon	C-Source, amino acid	C00148	9.0
PM01	A09	D-Alanine	carbon	C-Source, amino acid	C00133	0.0
PM01	A10	D-Trehalose	carbon	C-Source, carbohydrate	C01083	1.0
PM01	A11	D-Mannose	carbon	C-Source, carbohydrate	C00159	8.0
PM01	A12	Dulcitol	carbon	C-Source, carbohydrate	C01697	0.6666666666666666
PM01	B01	D-Serine	carbon	C-Source, amino acid	C00740	0.0
PM01	B02	D-Sorbitol	carbon	C-Source, carbohydrate	C00794	0.6666666666666666
PM01	B03	Glycerol	carbon	C-Source, carbohydrate	C00116	8.333333333333334
PM01	B04	L-Fucose	carbon	C-Source, carbohydrate	C01019	0.6666666666666666
PM01	B05	D-Glucuronic acid	carbon	C-Source, carboxylic acid	C00191	0.6666666666666666
PM01	B06	D-Gluconic acid	carbon	C-Source, carboxylic acid	C00257	8.0
PM01	B07	DL-a-Glycerol Phosphate	carbon	C-Source, carbohydrate	C00093	0.0
PM01	B08	D-Xylose	carbon	C-Source, carbohydrate	C00181	9.0
PM01	B09	L-Lactic acid	carbon	C-Source, carboxylic acid	C01432	7.666666666666667
PM01	B10	Formic acid	carbon	C-Source, carboxylic acid	C00058	0.6666666666666666
PM01	B11	D-Mannitol	carbon	C-Source, carbohydrate	C00392	9.0
PM01	B12	L-Glutamic acid	carbon	C-Source, amino acid	C00025	8.0
PM01	C01	D-Glucose-6-Phosphate	carbon	C-Source, carbohydrate	C00092	0.0
PM01	C02	D-Galactonic acid-g-Lactone	carbon	C-Source, carboxylic acid	C03383	0.6666666666666666
PM01	C03	DL-Malic acid	carbon	C-Source, carboxylic acid	C00497	8.0
PM01	C04	D-Ribose	carbon	C-Source, carbohydrate	C00121	9.0
PM01	C05	Tween 20	carbon	C-Source, fatty acid	C11624	5.0
PM01	C06	L-Rhamnose	carbon	C-Source, carbohydrate	C00507	0.0
PM01	C07	D-Fructose	carbon	C-Source, carbohydrate	C00095	9.0
PM01	C08	Acetic acid	carbon	C-Source, carboxylic acid	C00033	7.666666666666667
PM01	C09	a-D-Glucose	carbon	C-Source, carbohydrate	C00031	8.0
PM01	C10	Maltose	carbon	C-Source, carbohydrate	C00208	6.0
