,bigg,chemical,moa,exchange,model_simulation_0.05,carbon_number,media,PTA_Production_EX_glu__L_e,PTA_Production_EX_mnl_e,PTA_Production_EX_glyc_e
0,arab__L,L-Arabinose,"C-Source, carbohydrate",EX_arab__L_e,True,5,0.9600000000000002,0.06859664474863493,0.11007900026476444,0.13102553824863505
1,succ,Succinic acid,"C-Source, carboxylic acid",EX_succ_e,True,4,1.2000000000000002,0.05862372600676238,0.10046609703895727,0.12105261950676473
2,gal,D-Galactose,"C-Source, carbohydrate",EX_gal_e,True,6,0.8000000000000002,0.06866116087766731,0.1101435163937969,0.13109005437766652
3,asp__L,L-Aspartic acid,"C-Source, amino acid",EX_asp__L_e,True,4,1.2000000000000002,0.057172113103538064,0.09901448413573118,0.1196010066035382
4,pro__L,L-Proline,"C-Source, amino acid",EX_pro__L_e,True,5,0.9600000000000002,0.07004308084547355,0.11203867910347375,0.13262520157128133
5,man,D-Mannose,"C-Source, carbohydrate",EX_man_e,True,6,0.8000000000000002,0.06898374152282814,0.11046609703896021,0.13141263502282866
6,glyc,Glycerol,"C-Source, carbohydrate",EX_glyc_e,True,3,1.6000000000000003,0.07443165318418325,0.11627254865186315,0.0910526195067641
7,glcn,D-Gluconic acid,"C-Source, carboxylic acid",EX_glcn_e,True,6,0.8000000000000002,0.06522030066261358,0.10670265617874393,0.1276491941626142
8,xyl__D,D-Xylose,"C-Source, carbohydrate",EX_xyl__D_e,True,5,0.9600000000000002,0.06859664474863333,0.11007900026476368,0.1310255382486351
9,lac__L,L-Lactic acid,"C-Source, carboxylic acid",EX_lac__L_e,True,3,1.6000000000000003,0.06410759697450386,0.10594996800670088,0.12653649047450666
10,mnl,D-Mannitol,"C-Source, carbohydrate",EX_mnl_e,True,6,0.8000000000000002,0.07061932426476368,0.07046609703895836,0.1330467422002464
11,glu__L,L-Glutamic acid,"C-Source, amino acid",EX_glu__L_e,True,5,0.9600000000000002,0.028623726006763897,0.10390964684541198,0.12449616931321575
12,rib__D,D-Ribose,"C-Source, carbohydrate",EX_rib__D_e,True,5,0.9600000000000002,0.06743535442605421,0.10891770994218326,0.12986424792605444
